image,class,confidence
BikesHelmets10.png,Without Helmet,0.7955056428909302
BikesHelmets100.png,With Helmet,0.7028197050094604
BikesHelmets100.png,With Helmet,0.7025541663169861
BikesHelmets101.png,Without Helmet,0.4046423137187958
BikesHelmets105.png,With Helmet,0.9652625322341919
BikesHelmets107.png,With Helmet,0.9364402890205383
BikesHelmets108.png,With Helmet,0.7551941275596619
BikesHelmets114.png,With Helmet,0.9152730107307434
BikesHelmets114.png,With Helmet,0.8880646228790283
BikesHelmets114.png,With Helmet,0.8839939832687378
BikesHelmets114.png,With Helmet,0.7500207424163818
BikesHelmets114.png,With Helmet,0.5531294345855713
BikesHelmets114.png,With Helmet,0.5521134734153748
BikesHelmets114.png,With Helmet,0.4752282202243805
BikesHelmets117.png,With Helmet,0.7427653670310974
BikesHelmets145.png,With Helmet,0.7471493482589722
BikesHelmets145.png,With Helmet,0.7102115154266357
BikesHelmets149.png,With Helmet,0.8409345149993896
BikesHelmets149.png,With Helmet,0.4607093036174774
BikesHelmets150.png,With Helmet,0.8529413938522339
BikesHelmets150.png,With Helmet,0.7631883025169373
BikesHelmets150.png,Without Helmet,0.5406461954116821
BikesHelmets154.png,Without Helmet,0.7713454961776733
BikesHelmets162.png,With Helmet,0.8109334111213684
BikesHelmets163.png,With Helmet,0.8502073287963867
BikesHelmets163.png,With Helmet,0.8441616892814636
BikesHelmets163.png,With Helmet,0.7986835837364197
BikesHelmets163.png,With Helmet,0.7793161869049072
BikesHelmets163.png,Without Helmet,0.5584709048271179
BikesHelmets170.png,Without Helmet,0.9432680010795593
BikesHelmets173.png,With Helmet,0.8694522976875305
BikesHelmets173.png,With Helmet,0.7526029944419861
BikesHelmets173.png,With Helmet,0.7150197625160217
BikesHelmets173.png,With Helmet,0.6186297535896301
BikesHelmets174.png,With Helmet,0.8131309151649475
BikesHelmets183.png,With Helmet,0.8707853555679321
BikesHelmets185.png,With Helmet,0.8004767298698425
BikesHelmets185.png,With Helmet,0.40687093138694763
BikesHelmets189.png,With Helmet,0.9193203449249268
BikesHelmets189.png,With Helmet,0.74118572473526
BikesHelmets192.png,With Helmet,0.6914282441139221
BikesHelmets193.png,With Helmet,0.8425036072731018
BikesHelmets20.png,With Helmet,0.8374435901641846
BikesHelmets20.png,With Helmet,0.6723724007606506
BikesHelmets213.png,With Helmet,0.841041624546051
BikesHelmets213.png,With Helmet,0.5123351216316223
BikesHelmets213.png,With Helmet,0.5112185478210449
BikesHelmets217.png,Without Helmet,0.5890851020812988
BikesHelmets217.png,With Helmet,0.44920870661735535
BikesHelmets217.png,Without Helmet,0.43304261565208435
BikesHelmets217.png,Without Helmet,0.40849366784095764
BikesHelmets226.png,With Helmet,0.7386454343795776
BikesHelmets23.png,With Helmet,0.7819548845291138
BikesHelmets238.png,Without Helmet,0.8355691432952881
BikesHelmets24.png,With Helmet,0.9122355580329895
BikesHelmets241.png,With Helmet,0.7325721383094788
BikesHelmets25.png,With Helmet,0.9431272745132446
BikesHelmets25.png,With Helmet,0.8791356086730957
BikesHelmets254.png,With Helmet,0.9163455367088318
BikesHelmets254.png,With Helmet,0.7673233151435852
BikesHelmets255.png,With Helmet,0.8276510834693909
BikesHelmets255.png,With Helmet,0.7866084575653076
BikesHelmets255.png,Without Helmet,0.6232201457023621
BikesHelmets256.png,Without Helmet,0.7806717157363892
BikesHelmets259.png,With Helmet,0.9075925946235657
BikesHelmets259.png,With Helmet,0.8995522260665894
BikesHelmets259.png,With Helmet,0.8636899590492249
BikesHelmets259.png,With Helmet,0.8150155544281006
BikesHelmets268.png,With Helmet,0.8713085651397705
BikesHelmets269.png,With Helmet,0.9393604397773743
